MRF Item #,Page,Item Name,Description,Min Qty,Min -47,48-95,96-239,240-479,480-959,300-599,600-2399,Mfg Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB102CA,4,Extra Fancy Jumbo Cashews in Scarlet Magnetic Closure  Box,"People are always fascinated by our magnetic closure gift boxes and then thrilled to discover what's inside! This deep red box is filled with three-quarters of a pound of those great big, great tasting, freshly roasted Jumbo Cashews Ð the very finest in the world Ð specially packaged to preserve freshness. Choose gold or silver for your logo and we will add a matching bow.",18,34.85,34.5,33.75,33.75,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB121CA,4,English Butter Toffee in Scarlet Magnetic Closure Gift Box,"For over 25 years, our customers (and the recipients of their gifts) have raved about our signature English Butter Toffee! We begin with a crunchy toffee center made with plenty of pure, dairy-fresh butter. Then we enrobe each piece in rich, premium chocolate. Finally, we cover it with toasted almonds. With nearly 36 pieces in this one-pound box, there's plenty to share with friends and family... but don't be surprised if they want to keep it all for themselves. We'll package this great tasting toffee in our red magnetic closure gift box. Choose gold or silver for your logo and we will add a matching bow.",18,39.2,38.85,38.1,38.1,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB124CA,4,Chocolate Covered Almonds in Scarlet Magnetic Closure Box,"We'll tell you flat out: These are the finest Chocolate Covered Almonds we've ever seen. In fact, they're so superior to what you'll see in stores that your customers and employees will call or email asking where you found them. Colossal, freshly toasted California almonds are covered in rich chocolate! Over 75 come packed in this three-quarter pound red magnetic closure gift box. Choose gold or silver for your logo and we will add a matching gold or silver bow.",18,32.65,32.3,31.55,31.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB138CA,4,Sea Salt Caramels & Truffles in Red Magnetic Closure Box,"Magnetic Closure Gift Boxes are a fun way of presenting a gourmet gift. A hidden magnet keeps the lid secure. These leather-like keepsake boxes will be used for years to come. Choose a gold imprint with gold ribbon; or a silver imprint with silver ribbon. Recipients will open their gift to discover some of our most popular gourmet-quality chocolates... ChocolateSea Salt Caramels & Cocoa Dusted Truffles, one-half pound.",18,37,36.7,35.9,35.9,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB142CA,4,Chocolate Almonds & Sea Salt Caramels in Red Magnetic Box,"Magnetic Closure Gift Boxes are a fun way of presenting a gourmet gift. A hidden magnet keeps the lid secure. These leather-like keepsake boxes will be used for years to come. Choose a gold imprint with gold ribbon; or a silver imprint with silver ribbon. Recipients will open their gift to discover some of our most popular gourmet-quality chocolates... Chocolate Covered Almonds & Chocolate Sea Salt Caramels, 9-ounces.",18,37,36.7,35.9,35.9,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB160CA,4,Toffee & Turtles in Scarlet Magnetic Closure Gift Box,"Magnetic Closure Gift Boxes are a fun way of presenting a gourmet gift. A hidden magnet keeps the lid secure. These leather-like keepsake boxes will be used for years to come. Choose a gold imprint with gold ribbon; or a silver imprint with silver ribbon. Recipients will open their gift to discover some of our most popular gourmet-quality chocolates... English Butter Toffee & Pecan Turtles, eleven-ounces.",18,38.1,37.75,37,37,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB123CA,4,Red Magnetic Closure Gift Box with Pecan Turtles,"These mouth-watering pecan turtles taste even better than they appear!ÊIf you're like me, your mouth is probably watering right now just looking at them. Specially selected, large, full-flavored pecans are surrounded with rich, creamy caramel, and then drenched with the finest chocolate. They're totally irresistible! 24 of these delicious turtles are packed in one of our fourteen-ounce red magnetic closure gift boxes. Your logo is foil-stamped in gold or silver with a matching gold or silver bow.",18,33.75,33.4,32.65,32.65,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB102CA,5,Extra Fancy Jumbo Cashews in Navy Magnetic Closure  Box,"People are always fascinated by our magnetic closure gift boxes and then thrilled to discover what's inside! This navy blue box is filled with three-quarters of a pound of those great big, great tasting, freshly roasted Jumbo Cashews Ð the very finest in the world Ð specially packaged to preserve freshness. Choose gold or silver for your logo and we will add a matching bow.",18,34.85,34.5,33.75,33.75,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB121CA,5,English Butter Toffee in Navy Magnetic Closure Gift Box,"For over 25 years, our customers (and the recipients of their gifts) have raved about our signature English Butter Toffee! We begin with a crunchy toffee center made with plenty of pure, dairy-fresh butter. Then we enrobe each piece in rich, premium chocolate. Finally, we cover it with toasted almonds. With nearly 36 pieces in this one-pound box, there's plenty to share with friends and family... but don't be surprised if they want to keep it all for themselves. We'll package this great tasting toffee in our navy blue magnetic closure gift box. Choose gold or silver for your logo and we will add a matching bow.",18,39.2,38.85,38.1,38.1,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB124CA,5,Chocolate Covered Almonds in Navy Magnetic Closure Box,"We'll tell you flat out: These are the finest Chocolate Covered Almonds we've ever seen. In fact, they're so superior to what you'll see in stores that your customers and employees will call or email asking where you found them. Colossal, freshly toasted California almonds are covered in rich chocolate! Over 75 come packed in this three-quarter pound navy blue magnetic closure gift box. Choose gold or silver for your logo and we will add a matching gold or silver bow.",18,32.65,32.3,31.55,31.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB138CA,5,Sea Salt Caramels & Truffles in Navy Magnetic Closure Box,"Our Magnetic Closure Gift Boxes feature a rich, Navy Blue leather-like finish. Because they are thicker than other gift boxes, they are highly durable and reusable. A hidden magnet holds the lid securely in place. Your logo is foil-stamped in silver or gold on the center of the lid and the box is tied with a matching silver or gold ribbon. Recipients will open their gift to discover some of our most popular gourmet-quality treats... Cocoa Dusted Truffles & Chocolate Sea Salt Caramels, one-half pound.",18,37,36.7,35.9,35.9,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB142CA,5,Chocolate Almonds & Sea Salt Caramels in Navy Magnetic Box,"Our Magnetic Closure Gift Boxes feature a rich, Navy Blue leather-like finish. Because they are thicker than other gift boxes, they are highly durable and reusable. A hidden magnet holds the lid securely in place. Your logo is foil-stamped in silver or gold on the center of the lid and the box is tied with a matching silver or gold ribbon. Recipients will open their gift to discover some of our most popular gourmet-quality treats... Chocolate Almonds & Sea Salt Caramels, nine-ounces.",18,37,36.7,35.9,35.9,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB160CA,5,Toffee & Turtles in Navy Magnetic Closure Gift Box,"Our Magnetic Closure Gift Boxes feature a rich, Navy Blue leather-like finish. Because they are thicker than other gift boxes, they are highly durable and reusable. A hidden magnet holds the lid securely in place. Your logo is foil-stamped in silver or gold on the center of the lid and the box is tied with a matching silver or gold ribbon. Recipients will open their gift to discover some of our most popular gourmet-quality treats... English Butter Toffee & Pecan Turtles, eleven-ounces.",18,38.1,37.75,37,37,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB123CA,5,Navy Magnetic Closure Gift Box with Pecan Turtles,"These mouth-watering pecan turtles taste even better than they appear!ÊIf youÕre like me, your mouth is probably watering right now just looking at them. Specially selected, large, full-flavored pecans are surrounded with rich, creamy caramel, and then drenched with the finest chocolate. TheyÕre totally irresistible! 24 of these delicious turtles are packed in one of our fourteen-ounce navy blue magnetic closure gift boxes. Your logo is foil-stamped in gold or silver with a matching gold or silver bow.",18,33.75,33.4,32.65,32.65,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT102CA,6,Extra Fancy Jumbo Cashews in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Extra Fancy Jumbo Cashews, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT119CA,6,Chocolate Sea Salt Caramels in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 8 Chocolate Sea Salt Caramels, four and three-quarters ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT121CA,6,English Butter Toffee in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 12 pieces of English Butter Toffee, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT123CA,6,Pecan Turtles in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 12 Pecan Turtles, six-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT124CA,6,Chocolate Covered Almonds in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Chocolate Covered Almonds, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT129CA,6,Peppermint Bark in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Peppermint Bark, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT141CA,6,Jumbo California Pistachios in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Jumbo California Pistachios, four-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,13.05,13,13,12.95,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT143CA,6,Cocoa Dusted Truffles in Copper Gift Box,"These chic copper gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 11 Cocoa Dusted Truffles, three and one-half ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMC-CTCA,6,Individual Mailing Carton for Classic Treats,Individual mailing carton for Classic Treats,48,,1.65,1.55,1.55,1.35,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT102CA,6,Extra Fancy Jumbo Cashews in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Extra Fancy Jumbo Cashews, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT119CA,6,Chocolate Sea Salt Caramels in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 8 Chocolate Sea Salt Caramels, four and three-quarters ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT121CA,6,English Butter Toffee in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 12 pieces of English Butter Toffee, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT123CA,6,Pecan Turtles in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 12 Pecan Turtles, six-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT124CA,6,Chocolate Covered Almonds in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Chocolate Covered Almonds, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT129CA,6,Peppermint Bark in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Peppermint Bark, five-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT141CA,6,Jumbo California Pistachios in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal a generous portion of Jumbo California Pistachios, four-ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,13.05,13,13,12.95,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT143CA,6,Cocoa Dusted Truffles in Silver Gift Box,"These chic silver gift boxes are a perfect thank-you gift or table favor. Your logo or promotional message is foil-stamped in one of four colors (black, white, blue or red) and the box is tied with a matching satin ribbon. Each box opens to reveal 11 Cocoa Dusted Truffles, three and one-half ounces. If individual shipment is requested, individual mailers are required at an extra charge. Other food options are available, contact factory.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB102CA,7,Jumbo Cashews in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with our famous Extra Fancy Jumbo Cashews, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB121CA,7,English Butter Toffee in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with twelve pieces of our signature English Butter Toffee. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,15.25,15.2,15.2,15.15,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB124CA,7,Chocolate Almonds in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with our famous Chocolate Covered Almonds, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB143CA,7,Cocoa Dusted Truffles in Black & White Triangular Gift Box,"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with eleven Cocoa Dusted Truffles. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow. If individual shipment is requested, individual mailers are required at an extra charge.",48,,14.15,14.1,14.1,14.05,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMC-BTBCA,7,Individual Mailing Carton for Triangular Gift Boxes,Individual mailing carton for Triangular Gift Boxes,48,,1.65,1.55,1.55,1.35,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1006CA,8,Toffee & Chocolate Almonds in Wooden Collector's Box,"Our two best-selling chocolates in one deluxe package. Freshly-roasted California almonds are smothered in rich, milk chocolate to create our famous Chocolate Covered Almonds. Alongside we include our signature English Butter Toffee, made the old-fashioned way with plenty of dairy-fresh butter for a richness and flavor that's impossible to find anywhere else. Ten-ounces in all. This masterpiece assortment will delight every chocolate lover!",18,35.9,35.6,34.8,34.8,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
