MRF Item #,Page,Item Name,Description,Min Qty,Min -47,48-95,96-239,240-479,480-959,300-599,600-2399,Mfg Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K116CA,8,Deluxe Mixed Nuts in Wooden Collector's Box,"We hear it over and over again: ""These are the best and freshest nuts that I've ever tasted."" Sure they are... because we roast them in small batches, at exactly the right temperature, then salt them ever-so-lightly to enhance their natural flavor and package them at once in a three-quarter pound gold-foil bag to lock in freshness. Everyone who tastes these spectacular nuts notices the difference, and so will you!",18,32.65,32.3,31.55,31.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K124CA,8,Chocolate Covered Almonds in Wooden Collector's Box,"We'll tell you flat out: These are the biggest and finest Chocolate Covered Almonds we've ever seen. In fact, they're so superior to what you'll see in stores that your customers and employees will call asking where you found them. Colossal, freshly toasted California almonds are covered in rich chocolate! Over 75 come packed in this three-quarter pound box. What a treat!",18,31.55,31.2,30.45,30.45,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB939CA,9,Scarlet Magnetic Closure Keepsake Box,"The large, elegant, magnetic closure gift box will be perfect for keeping small treasured items, either in the office or at home. We foil-stamp your logo in gold or silver on the lid of this leather-like box then tie it with a matching gold or silver ribbon. It's filled with an incredible assortment of gourmet treats including Chocolate Sea Salt Caramels, English Butter Toffee, Chocolate Covered Almonds, and Extra Fancy Jumbo Cashews, nearly one and a quarter pounds in all. This gift is guaranteed to bring a smile to their face! Other food combinations are available, contact factory.",12,59.9,59.55,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB914CA,10,Navy Magnetic Closure Keepsake Box,"This large, magnetic closure gift box features a luxurious navy blue leather-like finish and will be a long time reminder of this gourmet gift. Your logo is foil-stamped in silver or gold on the center of the lid and the box is wrapped with a matching silver or gold ribbon. Four of our most popular gourmet selections are packaged inside. When recipients open their gift they'll be treated to our signature English Butter Toffee, rich Pecan Turtles, fresh-roasted Deluxe Mixed Nuts and our legendary Chocolate Covered Almonds, nearly one and a half pounds of our best treats. Other food options are available, contact factory.",12,59.95,59.55,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBR3001CA,11,Chocolate Fantasy,"Indulge someone's love of fine chocolate with this sumptuous gift! Three award-winning confections... our signature English Butter Toffee, mouth-watering Pecan Turtles and rich Chocolate Covered Almonds presented in an elegant white pillow-top gift box. It's carefully tied with complementary brown satin ribbon that's foil-stamped with your logo in white.  They'll love you for choosing this sophisticated gift!",12,43.55,43.2,42.45,42.45,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBR3004CA,11,Chocolate Bliss,"Indulge someone's love of fine chocolate with this sumptuous gift! Three award-winning confections... our popular Milk Chocolate Covered Almonds, delicious Pecan Turtles, and chewy, rich Dark Chocolate Sea Salt Caramels presented in an elegant white pillow-top gift box. It's carefully tied with complementary brown satin ribbon that's foil-stamped with your logo in white.  They'll love you for choosing this sophisticated gift!",12,43.55,43.2,42.45,42.45,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB914CA,12,President's Choice,"A truly exclusive keepsake! This black, faux leather keepsake box, with your logo foil-stamped in white or debossed, is practically overflowing with delicacies everyone will be thrilled to receive. Smooth, Milk Chocolate Covered Almonds, mouth-watering Pecan Turtles, crunchy and buttery English Toffee and fresh-roasted Deluxe Mixed Nuts. Nearly one and a half-pounds of gourmet treats! With so many delicious flavors and so many uses, this faux leather gift box will be sure to leave a lasting impression. Other food combinations are available, contact factory.",12,59.9,59.55,58.8,58.8,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2002CA,13,1920 Tractor-Trailer Truck with Extra Fancy Jumbo Cashews,"Everyone will want to add this 1920 Tractor-Trailer to their collection. The tractor-trailer (13.25"" x 3.25"" x 4.625"") includes your logo or imprint foil-stamped in gold on both sides. We include a package of freshly roasted Extra Fancy Jumbo Cashews, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Imported.",12,52.25,51.95,51.2,51.2,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2020CA,13,1920 Tractor-Trailer with Chocolate Almonds & Jumbo Cashews,"Everyone will want to add this 1920 Tractor-Trailer to their collection. The tractor-trailer (13.25"" x 3.25"" x 4.625"") includes your logo or imprint foil-stamped in gold on both sides. We include a package of freshly roasted Extra Fancy Jumbo Cashews, five-ounces and Chocolate Covered Almonds, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Imported.",12,56.6,56.3,55.55,55.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2024CA,13,1920 Tractor-Trailer Truck with Chocolate Almonds,"Everyone will want to add this 1920 Tractor-Trailer to their collection. The tractor-trailer (13.25"" x 3.25"" x 4.625"") includes your logo or imprint foil-stamped in gold on both sides. We include a package of Chocolate Covered Almonds, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Imported.",12,51.2,50.85,50.1,50.1,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR102CA,14,Classic Wooden 1925 Stake Truck with Jumbo Cashews,"Recipients will appreciate the style and craftsmanship of our version of a Classic 1925 Stake Truck almost as much as they'll appreciate the cargo! Both sides of the truck feature your imprint foil-stamped in gold. We include Extra Fancy Jumbo Cashews, five-ounces. Truck is imported.",18,40.3,39.95,39.2,39.2,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR120CA,14,Classic 1925 Stake Truck with Cashews & Chocolate Almonds,"Recipients will appreciate the style and craftsmanship of our version of a Classic 1925 Stake Truck almost as much as they'll appreciate the cargo! Both sides of the truck feature your imprint foil-stamped in gold. We include Extra Fancy Jumbo Cashews, five-ounces, and Chocolate Covered Almonds, five-ounces. Truck is imported.",18,44.65,44.3,43.55,43.55,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR124CA,14,Classic Wooden 1925 Stake Truck with Chocolate Almonds,"Recipients will appreciate the style and craftsmanship of our version of a Classic 1925 Stake Truck almost as much as they'll appreciate the cargo! Both sides of the truck feature your imprint foil-stamped in gold. We include Chocolate Covered Almonds, five-ounces. Truck is imported.",18,39.2,38.85,38.1,38.1,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2124CA,14,1930-Era Tractor Trailer Truck with Chocolate Almonds,"A ""must have"" for all collectors, this 1930-Era Tractor-Trailer will be appreciated by every lucky recipient!ÊThe tractor-trailer features your logo foil-stamped in gold on both sides. We include a package of Chocolate Covered Almonds, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Quantity is limited so order early!",12,52.25,51.95,51.2,51.2,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2102CA,14,1930-Era Tractor Trailer Truck with Cashews,"A ""must have"" for all collectors, this 1930-Era Tractor-Trailer will be appreciated by every lucky recipient!ÊThe tractor-trailer features your logo foil-stamped in gold on both sides. We include a package of freshly roasted Extra Fancy Jumbo Cashews, five-ounces. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Quantity is limited so order early!",12,53.35,53.05,52.25,52.25,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR2120CA,14,1930-Era Tractor Trailer Truck Chocolate Almonds and Cashews,"A ""must have"" for all collectors, this 1930-Era Tractor-Trailer will be appreciated by every lucky recipient!ÊThe tractor-trailer features your logo foil-stamped in gold on both sides. We include a package of Chocolate Covered Almonds and freshly roasted Extra Fancy Jumbo Cashews, five-ounces each. Every recipient of this wooden classic truck will appreciate its craftsmanship and style. Because each truck is made by hand, no two will be identical. Quantity is limited so order early!",12,57.75,57.4,56.65,56.65,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG3565CA,15,Burgundy & Gold Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This burgundy and gold tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A sheer burgundy ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS3565CA,15,Gold Striped Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This gold striped tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A sheer burgundy ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSF3565CA,15,Navy Snowflake Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This snowflake and navy blue tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A navy satin ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN3565CA,15,Silver & Navy Tower of Sweets,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This silver & navy tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate Ð White, Milk, and Dark. A navy blue ribbon foil-stamped with your logo ties it all together. Serves 9-14.",8,81.7,81.4,80.6,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG2910CA,16,Burgundy & Gold Tower of Favorites,"Four gourmet favorites in one festive tower. We start with our signature English Butter Toffee, made with plenty of dairy-fresh butter, rich chocolate and California Almonds; then add a dozen scrumptious Pecan Turtles with creamy caramel centers and hand-picked Pecans, Extra Fancy Cashews that are freshly roasted and lightly salted; and finally, Gourmet Chocolate Sea Salt Caramel Corn. This Tower of Favorites is available in our Burgundy & Gold design with burgundy ribbon and gold imprint. Wow! What a treat! Serves 7-10.",12,59.9,59.6,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK2910CA,16,Black & Silver Tower of Favorites,"Four gourmet favorites in one festive tower. We start with our signature English Butter Toffee, made with plenty of dairy-fresh butter, rich chocolate and California Almonds; then add a dozen scrumptious Pecan Turtles with creamy caramel centers and hand-picked Pecans, Extra Fancy Cashews that are freshly roasted and lightly salted; and finally, Gourmet Chocolate Sea Salt Caramel Corn. This Tower of Favorites is available in our Black & Silver design with black ribbon and silver imprint. Wow! What a treat! Serves 7-10.",12,59.9,59.6,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS2910CA,16,Gold Striped Tower of Favorites,"Four gourmet favorites in one festive tower. We start with our signature English Butter Toffee, made with plenty of dairy-fresh butter, rich chocolate and California Almonds; then add a dozen scrumptious Pecan Turtles with creamy caramel centers and hand-picked Pecans, Extra Fancy Cashews that are freshly roasted and lightly salted; and finally, Gourmet Chocolate Sea Salt Caramel Corn. This Tower of Favorites is available in our Gold-Striped pattern with burgundy ribbon and gold imprint. Wow! What a treat! Serves 7-10.",12,59.9,59.6,58.8,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN567CA,17,Silver & Navy Tower of Treats,"This sparkling festive tower contains an excellent assortment of gourmet treats that's guaranteed to please one and all! We include fresh-roasted Extra Fancy Jumbo Cashews, our legendary Chocolate Covered Almonds, Chocolate Covered Peanuts, White Frosted Pretzels and Chocolate Sea Salt Caramel Corn. It's almost too beautiful to open, but imagining what's inside is too much temptation for anyone! Your logo is foil-stamped in silver on the navy satin ribbon. Serves 10-15.",12,65.35,65,64.25,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6018SBCA,18,Golden Delights Tower in Burgundy,"This golden tower is nearly overflowing with an expertly balanced combination of sweet and salty flavors to satisfy every recipient.ÊIt features an assortment of traditional favorites: delicious Chocolate Covered Almonds, Cocoa Dusted Truffles, Almond Pecan Caramel Corn, Seasoned Pretzels, Chocolate Covered Oreos¨; and for the final touch, two pieces of Godiva¨ Chocolate. Your logo is foil-stamped in gold on the ribbon of your choice: sheer burgundy or ivory satin. This is a scrumptious selection that is sure to delight all who are lucky enough to receive it! Serves 8-12.",8,76.25,75.95,75.2,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6018ICA,18,Golden Delights Tower in Ivory,"This golden tower is nearly overflowing with an expertly balanced combination of sweet and salty flavors to satisfy every recipient.ÊIt features an assortment of traditional favorites: delicious Chocolate Covered Almonds, Cocoa Dusted Truffles, Almond Pecan Caramel Corn, Seasoned Pretzels, Chocolate Covered Oreos¨; and for the final touch, two pieces of Godiva¨ Chocolate. Your logo is foil-stamped in gold on the ribbon of your choice: sheer burgundy or ivory satin. This is a scrumptious selection that is sure to delight all who are lucky enough to receive it! Serves 8-12.",8,76.25,75.95,75.2,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPT3567CA,19,"Navy ""Park Avenue"" Tower of Sweets","Rich navy gift boxes with white pillow-top lids give these towers a real ""Park Avenue"" feel. You won't find towers like this anywhere! We start with our signature English Butter Toffee made with plenty of dairy-fresh butter, then add Pecan Turtles, our legendary Chocolate Covered Almonds, Cocoa Dusted Truffles, fresh-roasted Deluxe Mixed Nuts, and Chocolate Sea Salt Caramel Corn. We tie these beautiful gift boxes together with a matching navy blue ribbon foil-stamped in white with your logo. When we say ""Park Avenue"" we mean ""Park Avenue""! Serves 12-16.",8,87.15,86.8,86.05,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPT3567CA,19,"""Park Avenue"" Tower of Sweets in Red","Rich red gift boxes with white pillow-top lids give these towers a real ""Park Avenue"" feel.ÊYou won't find towers like this anywhere! We start with our signature English Butter Toffee made with plenty of dairy-fresh butter, then add Pecan Turtles, our legendary Chocolate Covered Almonds, Cocoa Dusted Truffles, fresh-roasted Deluxe Mixed Nuts, and Chocolate Sea Salt Caramel Corn. We tie these beautiful gift boxes together with a white satin ribbon foil-stamped in red with your logo. When we say ""Park Avenue"" we mean ""Park Avenue""! Serves 12-16.",8,76.25,75.95,75.2,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSF2715CA,20,Gourmet Snowflake Tower,"This gourmet tower is packed with an abundance of luscious gourmet treats guaranteed to bring plenty of smiles! We begin with creamy Peppermint Bark and our famous Chocolate Covered Almonds, then add fresh-roasted Extra Fancy Jumbo Cashews and rich Chocolate Covered Peanuts for a true, gourmet treat. The navy blue satin ribbon is foil-stamped in silver with your logo. You will generate lots of smiles with this tasty gourmet gift! Serves 7-10.",12,54.45,54.1,53.35,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS275CA,20,Gold Rush Tower,"A beautiful and tasteful way to show your appreciation to customers and employees! This elegant golden-striped tower is filled with four taste tempting treats: five-ounces of our famous Chocolate Covered Almonds, six-ounces of mouth-watering Pecan Turtles, one-half pound of Chocolate Covered Raisins and five-ounces of fresh-roasted Deluxe Mixed Nuts. All are wrapped together with a sheer burgundy ribbon foil-stamped with your logo or imprint. Serves 7-10.",12,54.45,54.1,53.35,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC503CA,21,Majestic Nutcracker Tower,"This whimsical piece will bring a smile to the face of every recipient! He's filled with a wide array of gourmet treats, so there's plenty to share with associates or family and friends. After the treats have been enjoyed, he makes a great holiday centerpiece. Serves 12-18.",6,108.95,107.85,106.75,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC504CA,21,Standard Majestic Nutcracker Tower,"This whimsical piece will bring a smile to the face of every recipient!ÊHeÕs filled with a wide array of gourmet treats, so thereÕs plenty to share with associates or family and friends. After the treats have been enjoyed, he makes a great holiday centerpiece. Serves 6-8.",6,54.45,54.1,53.35,,,,,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRH6902BCA,22,Epicurean Feast,"Reward those who deserve it most with this wide array of gourmet favorites. Our hammered metal tub (13.5"" x 7.5"" x 6"") is overflowing with delicious treats, and thereÕs something for everyone to share. To add special elegance, we wrap the entire basket with a festive, decorative cello and tie it with your choice of ribbon (foil-stamped in silver with your logo).  ItÕs a gift theyÕll enjoy at once and remember throughout the year.",6,108.95,107.85,,,,,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1001CA,24,Milk Chocolate Dipped Pretzel,"Crunchy, jumbo pretzels are hand-dipped in rich, premium milk chocolate, then drizzled with contrasting stripes to create a delicious sweet and salty sensation.",300,,,,,,2.3,2.15,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1003CA,24,White Chocolate Dipped Pretzel,"Crunchy, jumbo pretzels are hand-dipped in rich, premium white chocolate, then drizzled with contrasting stripes to create a delicious sweet and salty sensation.",300,,,,,,2.3,2.15,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1101CA,24,Milk Chocolate Covered Oreo Cookie,"Real Oreo¨ cookies are drenched in smooth, premium milk chocolate, then drizzled with contrasting stripes to create a sweet flavor sensation.",300,,,,,,2.3,2.15,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1102CA,24,Dark Chocolate Covered Oreo Cookie,"Real Oreo¨ cookies are drenched in smooth, premium dark chocolate, then drizzled with contrasting stripes to create a sweet flavor sensation.",300,,,,,,2.3,2.15,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1502CA,24,Chocolate Covered Almonds,"Our most popular confection! Colossal, freshly-toasted California almonds are covered in rich, milk chocolate. Bet you can't eat just one!",300,,,,,,2.3,2.15,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1503CA,24,Cranberry Walnut Trail Mix,"Tart, dried cranberries add a tangy note to this healthy, energizing snack mix that includes toasted walnuts wrapped in a sweet sesame seed glaze.",300,,,,,,2.3,2.15,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,